ID2,MeanRelativeYield_1999_1999,MeanRelativeYield_1999_2000,MeanRelativeYield_1999_2001,MeanRelativeYield_1999_2002,MeanRelativeYield_1999_2003,MeanRelativeYield_1999_2004,MeanRelativeYield_1999_2005,MeanRelativeYield_1999_2006,MeanRelativeYield_1999_2007,MeanRelativeYield_1999_2008,MeanRelativeYield_1999_2009,MeanRelativeYield_1999_2010,MeanRelativeYield_1999_2011,MeanRelativeYield_1999_2012,MeanRelativeYield_1999_2013,MeanRelativeYield_1999_2014,MeanRelativeYield_1999_2015
100,1.1894919835977418,1.2094806514416425,1.1619561220199337,1.155641646111031,1.1736086071407414,1.1560076429897193,1.1579217465279146,1.1190805971132705,1.1190805971132705,1.2491894195355293,1.2295879021654972,1.2058470084356658,1.1838963430985474,1.1766619473707673,1.1526161915653323,1.1284185679625887,1.1286684709997443
101,0.9206576017864239,0.9377906724422688,1.125672629446659,1.121767212853347,1.1188793513337507,1.1156299689451947,1.1416631308318306,1.140376808105303,1.122221336969898,1.1245678029900228,1.136966907135433,1.1694065383169725,1.1547164807657646,1.1432495853297648,1.1490378845793856,1.1388683030088342,1.1367800931072622
102,0.6820006695432854,0.8659017932161452,0.930398128261016,0.9434833978806465,0.9457649791740824,0.9736943593791154,0.9563223383391227,0.9546755285710303,0.9537813930932401,0.9209665604331564,0.9136664231415192,0.9224425407069304,0.9255774112080988,0.9354798062120968,0.9468963883501612,0.9483125537738265,0.9515946909321201
103,0.9093972940081919,0.9434026185248436,0.9725662496644144,1.0035519973099125,0.9966779421624891,0.9947701505796988,1.0044399247311464,0.9984640157724062,1.0149642659445623,0.9510795729520198,0.9521107829365479,0.9641464159287739,0.9595683764924198,0.9787082340346362,0.9833581556240485,0.9703551771828297,0.9745027545866123
104,1.180468713949828,1.0239911708585496,1.106306665836265,1.1130975558453713,1.0820472972444868,1.0491486657728144,1.0823530194045077,1.054445596660817,1.0495432055462868,1.0648205355015412,1.0542879798089266,1.0705749182076343,1.0586790736925864,1.0532035045478845,1.0532035045478845,1.0336736660938957,1.0163348585222964
105,0.8469856485811086,0.8813726160558168,0.9216799700882085,0.9286297120547872,0.9153656985778399,0.9379537422771259,0.9707143699297243,0.9707143699297243,0.9534652484571972,0.920684031558101,0.8975202220418668,0.9445473674002712,0.9106667146066897,0.8742316115416985,0.8742316115416985,0.8724677241539388,0.8493385161087676
106,1.0085097152168079,0.8846134455223167,1.0157474072765533,1.0003958927108128,1.0433602432648645,1.0342589932596133,1.0225351182014693,0.9815775848029245,0.9870708755669921,0.9710336080076651,0.9734846693723199,1.0079585032438325,0.9929800494858008,0.9819622626998692,0.9819622626998692,0.9546627062877879,0.9444185343472091
107,0.8194426314371517,0.814545177438845,0.8202244781829476,0.8078453271635146,0.7580427846435905,0.7264583209913362,0.7231791336366534,0.7139840824701225,0.6909613035055124,0.6883772231700866,0.6499824639320446,0.650878404021495,0.6338974291226624,0.6093457852564698,0.6093457852564698,0.624284659511543,0.6388552546173388
108,1.1297738502396433,1.0232661222922528,1.116495015552838,1.0931706539951573,1.0369465951385721,1.013778333444286,1.0197705434887165,1.0095998309751066,1.0121155180666674,0.9840980596483206,1.0018470753138198,1.0198368431076898,0.9935497758620341,1.0052487970569108,1.0053993960836118,0.993840183996209,1.0185437412419702
109,1.3319888285815826,1.2380240761367034,1.1695954977112144,1.1022709665842534,1.2636887341610852,1.2078859714852208,1.1996126158606712,1.1904117091193742,1.1900359491368073,1.1686678165899433,1.1633443443919207,1.1737204016529863,1.166787023860468,1.1673093633199891,1.1638900512911114,1.1770367294010216,1.186154500315753
